panda
Qty,Value,Device,Package,Parts,Link,Manufacture,Manufacturer Part Number,Description,AVAILABILITY,CATEGORY,COPYRIGHT,DESCRIPTION,FORWARD_CURRENT,MANUFACTURER,MANUFACTURER_PART_NUMBER,MF,MFR_NAME,MP,MPN,OC_FARNELL,OC_NEWARK,OPERATING_TEMP,OPERATING_TEMPERATURE,PACKAGE,PART_STATUS,POPULARITY,PRICE,PROD_ID,PURCHASE-URL,RATING,REVERSE_VOLTAGE,ROHS_COMPLIANT,SERIES,SF_ID,SF_SKU,SPICEPREFIX,SUB-CATEGORY,SUB_CATEGORY,THERMALLOSS,TOLERANCE,TYPE,VALUE,VOLTAGE_RATING,
8,0.1uF,C-USC0402,C0402,"C5, C6, C7, C8, C9, C10, C11, C12",https://www.digikey.com/en/products/detail/kyocera-avx/0402YC104KAT2A/3080100,Kyocera,0402YC104KAT2A,"CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,16,,,,,,,,,,C,,,,,,,,
1,100,R-US_CHIP-0402(1005-METRIC),RESC1005X40,R22,https://www.digikey.com/en/products/detail/yageo/RC0402FR-07100RL/726527,YAGEO,RC0402FR-07100RL,Resistor Fixed - ANSI,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,,,
3,100,R-US_R0402,R0402,"R17, R18, R19",https://www.digikey.com/en/products/detail/yageo/RC0402FR-07100RL/726527,YAGEO,RC0402FR-07100RL,"RESISTOR, American symbol",,,,,,,,,,,,,,,,,,34,,,,,,,,,,R,,,,,,,,
14,100nF,C-EUC0402,C0402,"C46, C47, C49, C51, C52, C53, C54, C55, C56, C57, C58, C59, C65, C67",https://www.digikey.com/en/products/detail/kyocera-avx/0402YC104KAT2A/3080100,Kyocera,0402YC104KAT2A,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,18,,,,,,,,,,C,,,,,,,,
1,100nF,C-US_CHIP-0402(1005-METRIC),CAPC1005X60,C38,https://www.digikey.com/en/products/detail/kyocera-avx/0402YC104KAT2A/3080100,Kyocera,0402YC104KAT2A,Capacitor - ANSI,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10k,R-US_CHIP-0402(1005-METRIC),RESC1005X40,"R4, R5, R6, R7, R8, R9, R10, R11, R20, R21, R25",https://www.digikey.com/en/products/detail/yageo/RC0402FR-0710KP/4935264,YAGEO,RC0402FR-0710KP,Resistor Fixed - ANSI,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,,,
3,10k,R-US_R0402,R0402,"R1, R15, R16",https://www.digikey.com/en/products/detail/yageo/RC0402FR-0710KP/4935264,YAGEO,RC0402FR-0710KP,"RESISTOR, American symbol",,,,,,,,,,,,,,,,,,34,,,,,,,,,,R,,,,,,,,
1,150,R-US_R0402,R0402,R14,https://www.digikey.com/en/products/detail/yageo/RC0402FR-07150RL/726543,YAGEO,RC0402FR-07150RL,"RESISTOR, American symbol",,,,,,,,,,,,,,,,,,34,,,,,,,,,,R,,,,,,,,
1,220,R-US_CHIP-0402(1005-METRIC),RESC1005X40,R23,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0402JT220R/1758163,Stackpole Electronics Inc,RES 220 OHM 5% 1/16W 0402,Resistor Fixed - ANSI,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,,,
5,1uF,C-EUC0402,C0402,"C48, C50, C61, C64, C66",https://www.digikey.com/en/products/detail/kyocera-avx/04026C105KAT2A/6564253,Kyocera,04026C105KAT2A,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,18,,,,,,,,,,C,,,,,,,,
8,220mA/50V/3.5Ω,MOSFET-NCH-BSS138,SOT23-3,"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",https://www.digikey.com/en/products/detail/onsemi/BSS138LT1G/918376,Onsemi,BSS138LT1G,N-channel MOSFETs,,,,,,,,,,,,,,,,,,,,TRANS-00830,,,,,,,,,,,,,,220mA/50V/3.5Ω,,
1,4.7uF,C-EUC0603,C0603,C60,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A475KO8NNNC/3887442,Samsung Electro-Mechanics,CL10A475KO8NNNC,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,73,,,,,,,,,,C,,,,,,,,
2,4.7uF,C-US_CHIP-0603(1608-METRIC),CAPC1608X85,"C39, C40",https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A475KO8NNNC/3887442,Samsung Electro-Mechanics,CL10A475KO8NNNC,Capacitor - ANSI,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5.6p,C-EUC0402,C0402,"C69, C70",https://www.digikey.com/en/products/detail/kyocera-avx/04025A5R6BAT2A/1597513,KYOCERA AVX,04025A5R6BAT2A,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,18,,,,,,,,,,C,,,,,,,,
1,5V for 3v3 Reg,JUMPER-SMT_2_NC_PASTE_SILK,SMT-JUMPER_2_NC_PASTE_SILK,JP1,DNP,,,Normally closed solder jumper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,90,R-US_R0402,R0402,"R12, R13",https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0402FT88R7/1714916,Stackpole Electronics Inc,RMCF0402FT88R7,"RESISTOR, American symbol",,,,,,,,,,,,,,,,,,34,,,,,,,,,,R,,,,,,,,
1,ACC,CONN_025MM,SCREWTERMINAL-5MM-2,J12,https://www.digikey.com/en/products/detail/cui-devices/TB002-500-02BE/10064069,CUI Devices,TB002-500-02BE,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,,,,,,,,,,,,,,,,,,,,,,,PRT-08432,,,,,,,,,
1,ACC_EN,LED-RED0603,LED-0603,D3,https://www.digikey.com/en/products/detail/liteon/LTST-C191KRKT/386837,Lite-On Inc.,LTST-C191KRKT,Red SMD LED,,,,,,,,,,,,,,,,,,,,DIO-00819,,,,,,,,,,,,,,RED,,
4,ACT1210D,ACT1210D,ACT1210-101-2P-TL,"U8, U9, U10, U11",https://www.digikey.com/en/products/detail/tdk-corporation/ACT1210D-510-2P-TL00/16396144,TDK Corporation,ACT1210D-510-2P-TL00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AGND,JUMPER-SMT_2_NC_PASTE_SILK,SMT-JUMPER_2_NC_PASTE_SILK,JP5,DNP,,,Normally closed solder jumper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Boot,CONN_02,1X02,J8,https://www.digikey.com/en/products/detail/würth-elektronik/61300211121/4846823,Würth Elektronik,61300211121,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CLV1A-FKB-CK1VW1DE1BB7C3C3,CLV1A-FKB-CK1VW1DE1BB7C3C3,LED_CLV1A-FKB-CK1VW1DE1BB7C3C3,D1,https://www.digikey.com/en/products/detail/creeled-inc/CLV1A-FKB-CK1VW1DE1BB7C3C3/7907693,"CreeLED, Inc.",CLV1A-FKB-CK1VW1DE1BB7C3C3,PLCC4 3 in 1 SMD LED Check availability,In Stock,,,"Red, Green, Blue (RGB) 622nm Red, 528nm Green, 468nm Blue LED Indication - Discrete 2V Red, 3.2V Green, 3.2V Blue 4-PLCC",,,,Cree Inc.,,CLV1A-FKB-CK1VW1DE1BB7C3C3,,,,,,PLCC-4 Cree Inc.,,,None,,https://pricing.snapeda.com/search/part/CLV1A-FKB-CK1VW1DE1BB7C3C3/?ref=eda,,,,,,,,,,,,,,,
1,G6K-2P-Y,G6K-2P-Y,G6K-2P-Y,K1,https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/G6K-2P-Y-DC3/369228?utm_source=snapeda&utm_medium=aggregator&utm_campaign=buynow,Omron Electronics Inc-EMC Div,G6K-2P-Y DC3,Low Signal Relay,,,,,,,,OMRON COMPONENTS USA,,,G6K-2P-Y DC12,3937276,34C3464,,,,,0,,,,,,,,,,,,,,,,,,
1,MCP4261-103E/ML,MCP4261-103E/ML,QFN65P400X400X100-17N,U17,https://www.digikey.com/en/products/detail/microchip-technology/MCP4261-103E-ML/1874147?s=N4IgTCBcDaILIGEAKAWMA2AjAWkwBgGYBRAejgBkQBdAXyA,,,,,,,Digital Potentiometer 10kOhm 256POS Non-Volatile Linear Automotive 16-Pin QFN EP Tube,Microchip,,MCP4261-103E/ML,,,,,,QFN-16 Microchip,,,None,,https://pricing.snapeda.com/search/part/MCP4261-103E/ML/?ref=eda,,,,,,,,,,,,,,,,1,MCP4261-103E/ML,MCP4261-103E/ML
1,MCP4261-103E/SL,MCP4261-103E/SLSOIC-14,SOIC127P600X175-14N,IC1,DNP,,,7/8-Bit Single/Dual SPI Digital POT with Volatile Memory,,IC_Data-Conversion,,,,Microchip Technology,,,,,MCP4261-103E/SL,,,,-40°C ~ 125°C,,ACTIVE,,,,,,,COMPLIANT,MCP42X,,,,,Digital Potentiometer,0.4 W,,,MCP4261-103E/SL,,
